fname,aff/tps/homo,t1(A11/H11),t2(A12/H12),t3(A13/H13),t4(A21/H21),t5(A22/H22),t6(A23/H23),t7(H31),t8(H32),t9(H33),t10,t11,t12,t13,t14,t15,t16,t17,t18
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_030_012.jpg,2,16.126403824273687,9.064104916748931,-2690.5432157667724,1.3656748143525852,23.428245923097787,-2419.625463353675,0.0133026877576731,0.0304345432524671,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_090_012.jpg,2,0.9007952863142392,-0.0731319180115402,-28.85231249141593,-0.367840412443657,0.6366840147296992,205.093218900768,-0.0002856388593533,-0.0003235925575731,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_180_012.jpg,2,5.562488333506263,1.3558980607695,-993.248387431318,0.331653790314227,4.061711431435647,-432.56821528570936,0.0042466037540185,0.0027031698295828,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_150_012.jpg,2,1.2841400547113515,-0.7658390880736236,99.84100257426022,0.5592533315351782,0.3950434200279726,-87.63524399966822,0.0015175193995237,-0.0021202631645055,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_060_012.jpg,2,0.1049609545883746,-0.1308445284177224,219.66908028950368,-0.1901467014904052,0.4604602775503896,76.97613664418637,-0.001035555458101,-0.0002471215733918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_120_012.jpg,2,1.3493955056841895,-0.7070503475290054,134.67074571478628,0.3336039200094315,0.3941582729575484,85.08972433291798,0.0011302055722448,-0.0012516934676326,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_330_012.jpg,2,0.3773331961469231,-0.0038746677069886,172.7691667104292,-0.0195547800712454,0.8713491533562004,-69.84327523989009,-0.0007079926448075,-1.156617225967437e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_210_012.jpg,2,1.1486456999193548,0.8952997621419572,-174.67972107585132,0.3601157440349073,2.377183923234888,-381.8693610360048,-0.0006878231582942,0.0024116164183049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_240_012.jpg,2,0.0897658156152598,-0.0787683801908845,135.4530711565558,-0.2975006936455869,0.3720186347638079,154.14216687794698,-0.0012359503114532,-0.0001326712312655,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tinyTimeMachine/1h/1HW-AyeuoDcuq2qIp1P40g/_201306/1HW-AyeuoDcuq2qIp1P40g__201306_35.656858_139.707458_270_012.jpg,2,0.4384342169463552,-0.3916985633035874,144.53621625802475,-0.1710723286029445,0.1849501978841645,159.76748465035328,-0.0004707342008124,-0.0008770598527793,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
